movement,time_start,video_id,path,layer,duration,loop,uuid,semantic_tags,mood_tag,motion_tag,motion_variance,dominant_colors,emotional_tags,formal_tags,material_tags,ai_description
orientation,0.0,Frank's Shows June 18 1999_prores_scene_009,/Volumes/CORSAIR/SCENES/Frank's Shows June 18 1999_prores_scene_009_hap.mov,0,0.5,False,622cd2b7-0e4b-4e5d-8633-8b45d816a814,"['drums', 'event', 'group', 'guitar', 'monochrome', 'performer', 'photography', 'stage']",warm,active,90.132,"['#664d2a', '#301701', '#b79e7b']","['attentive', 'commanding', 'energetic', 'engrossed', 'motion', 'passionate']","['cluster', 'dynamic', 'foreground', 'lighting', 'motion', 'raised_platform', 'timeless', 'vibrant', 'warm_tones']","['instruments', 'microphones']","In the foreground, a man with a guitar is energetically strumming chords, his body leaning into the rhythm, engaging a duo of attentive men. On a raised platform, a drummer, animated by the beat, hammers on drums, a motion blur capturing his dynamic performance. A black and white image captures a timeless moment of a band in full swing, instruments and microphones implying a rousing concert. A cluster of individuals stands before a vast image, seemingly engrossed by its substance. Another drummer is seen in vigorous play, flanked by a pair of men possibly immersed in the music. A vibrant stage hosts a gathering of performers, their collective presence commanding the audience's attention. The scene exudes activity and warmth throughout, the lighting cast creates inviting and earnest overtones, emphasizing the passion inherent in the acts of musical expression."
orientation,0.5,00_0022_2013-12-28_005447_prores_scene_003,/Volumes/CORSAIR/SCENES/00_0022_2013-12-28_005447_prores_scene_003_hap.mov,0,0.5,False,5654b1a2-4d8a-4d95-8eea-4ef502721d30,"['airplane', 'bird', 'close_up', 'ice', 'icicles', 'rock_wall', 'sky', 'tree', 'video_footage']",cool,dynamic,82.021,"['#515353', '#93a7bb', '#727e8b']","['airy', 'cool', 'serene', 'sharpness', 'tranquil']","['blurred_motion', 'close-up_shots', 'dynamic', 'natural_light', 'panning', 'reflections', 'shadow', 'wide_shots']","['air', 'feathers', 'ice', 'metal', 'stone', 'wood']","A series of short video clips seamlessly blend together showcasing various icy elements. The first captures clear, sharp icicles dangling perilously from a tree branch. A swift cut transitions to a bird elegantly soaring through the crystal-clear sky. Next, frigid icicles are seen clinging to a rock wall, emphasizing the cold environment. A sudden blurred vision of an airplane traces across the sky, its details obscured by distance or motion. Finally, the camera focuses on a specific icicle, its surface decorated with intricate ice patterns, filling the frame with its delicate structure. Throughout the footage, the movement varies from the slow, creeping growth of ice to the quick flight of the bird and plane, and the subtle sway of icicles. The overall color tone is wintry and cool, with blues and whites dominating the scene. Light appears natural and diffused, likely due to an overcast sky or the reflective nature of the surroundings."
orientation,1.0,002385_prores_scene_002,/Volumes/CORSAIR/SCENES/002385_prores_scene_002_hap.mov,0,0.5,False,5fb1e0b6-aa72-4423-b52a-244fd4c91939,"['altitude', 'flight', 'ground', 'helicopter', 'runway', 'sky']",neutral,moderate,2.179,"['#f3fbfb', '#6d7633', '#0c1108']",['neutral_emotion'],"['motion', 'natural_light', 'neutral_colors']",['air_vehicle'],"A helicopter is depicted three times in varying aerial positions relative to the ground. In the first instance, the helicopter hovers closely along a runway, indicative of either taking off or preparing to land. The second image shows the helicopter at a higher altitude in the sky, mid-flight with no reference to the ground. In the third, the helicopter is seen at an intermediate height above the terrain, emphasizing its overland flight. The motion is moderate, suggesting controlled and purposeful movement. The color mood is neutral, neither particularly vivid nor subdued, with natural lighting that doesn't cast dramatic shadows or provide strong contrasts."
orientation,1.5,00_0061_2013-12-28_032325_prores_scene_001,/Volumes/CORSAIR/SCENES/00_0061_2013-12-28_032325_prores_scene_001_hap.mov,0,0.5,False,cf76c0e4-16f1-48b7-884a-04fe55039483,"['airplane', 'cell_phone', 'close_up', 'mid-air', 'monochrome', 'photograph', 'sky', 'static']",warm,still,0.001,"['#13120e', '#2a271b', '#0d0e0b']","['nostalgic', 'poignant', 'serene', 'tranquil']","['background', 'contrast', 'foreground_focus', 'monochrome', 'static', 'suspension', 'warm_lighting']","['air', 'cell_phone', 'photographic_paper']","The image captures a static moment featuring a cell phone suspended in mid-air. In the background, a black and white photograph shows an airplane soaring through the sky. The object of interest, presumably the cell phone, is in sharp focus at the forefront of the composition. There is an overall warm tonality to the picture, despite its monochromatic palette, suggesting that the lighting conditions may have a golden hue or it could be an effect of the picture's age or filter applied. The scene lacks any visible motion, conveying a sense of stillness."
orientation,2.0,IMG_2252_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_2252_prores_scene_001_hap.mov,0,0.5,False,2dc61a75-e499-47c0-872c-da745239f59a,"['bare_trees', 'dynamic', 'forest', 'human', 'painting', 'warm_lighting']",warm,dynamic,169.452,"['#eee8e5', '#9e9087', '#51443c']","['contemplative', 'serenity', 'warm_lighting']","['composition', 'foreground', 'organic', 'serene', 'tree_structure']","['artwork', 'canvas', 'paint']","A painting depicts a serene forest scene with several bare trees. In the foreground, a man stands contemplating the scenery. The composition mimics the organic structure of a tree, branching outward from the central figure. The movement within the painting is depicted as dynamic, suggesting rustling leaves or swaying branches, even in the stillness of the art. The overall color mood is warm, with gentle hues that suggest either a setting sun or the soft glow of autumnal light."
orientation,2.5,GOPR0511_prores_scene_002,/Volumes/CORSAIR/SCENES/GOPR0511_prores_scene_002_hap.mov,0,0.5,False,204cfe6c-4074-4b54-b484-ae0bdbc82c46,"['apartment_building', 'baby_stroller', 'couple', 'house', 'human', 'overcast_sky', 'parked_cars', 'residential_street', 'trees', 'walking']",cool,dynamic,25.905,"['#32331e', '#c6cfd5', '#818366']","['domestic', 'leisurely', 'tranquil']","['cool_color_mood', 'dynamic', 'soft_lighting', 'street']","['buildings', 'clothing', 'stroller', 'vegetation', 'vehicles']","A woman is walking leisurely down a residential street, hands nestled in her pockets, passing in front of her house which is presumably part of the street lined with homes. Nearby, a couple is seen pushing a baby stroller along a sidewalk, conveying a sense of domestic life. The apartment building in the vicinity indicates a mix of housing types in the neighborhood. The street itself is embellished with parked cars and the gentle sway of trees, all under a cool-hued, overcast sky that softens the light on the scene."
orientation,3.0,DUDEBROS_prores_scene_007,/Volumes/CORSAIR/SCENES/DUDEBROS_prores_scene_007_hap.mov,0,0.5,False,216cabea-b36f-473e-a661-eb77672ceb69,"['car', 'driver', 'highway', 'motion', 'natural_light', 'passenger', 'rear_seat', 'travel', 'vehicle']",warm,dynamic,119.519,"['#3b220c', '#ebd7b7', '#8d7253']","['bright', 'engaged', 'lethargic', 'relaxed']","['daytime', 'dynamic', 'interior_lighting', 'motion', 'perspective', 'warm_lighting']","['fabric', 'glass', 'metal', 'plastic']","A man is actively engaged in driving his car on a sunlit highway, with the sunlight casting a warm glow inside the vehicle. Another car is moving ahead on the road, cruising down the orderly highway. Behind the driver, a man is seated in the back seat, appearing relaxed. Alongside, a man sits in the passenger seat, lethargically resting his head on the dashboard, suggesting tiredness or sadness. The cars move dynamically, indicating a sense of travel and motion. The scene's overall warm color mood comes from the sunlight's influence, illuminating the interior of the cars and the highway."
orientation,3.5,00_0010_2013-12-28_002935_prores_scene_002,/Volumes/CORSAIR/SCENES/00_0010_2013-12-28_002935_prores_scene_002_hap.mov,0,0.5,False,f14c3dab-d76b-4925-98c4-330e5b742780,"['dog', 'human', 'path', 'snow', 'walking', 'winter', 'woods']",cool,dynamic,35.337,"['#8c98a1', '#393b30', '#e4e6e3']","['companionship', 'serenity', 'silence']","['bare_trees', 'cool_lighting', 'diffuse_lighting', 'motion', 'natural_light']","['fabric_clothing', 'fur', 'ice', 'snow', 'wood']","In the quiet serenity of a wintery woodland, a woman and her black dog make their way along a snow-laden path, partially sheltered by the bare branches overhead. The woman is bundled up for the cold, her footsteps and the dog's pawprints contributing the only disturbance to the otherwise pristine blanket of snow. The predominant movement is forward, as the pair traverse the terrain, the dog occasionally sniffing and exploring the surroundings. The cool color palette ranges from the white of the snow to the dark tones of the dog and the bare trees. Natural, diffuse light permeates the scene, with the overcast sky softening shadows and casting an even glow."
orientation,4.0,002385_prores_scene_002,/Volumes/CORSAIR/SCENES/002385_prores_scene_002_hap.mov,0,0.5,False,9db92747-a729-438a-9aa0-4a576325bfc1,"['altitude', 'flight', 'ground', 'helicopter', 'runway', 'sky']",neutral,moderate,2.179,"['#f3fbfb', '#6d7633', '#0c1108']",['neutral_emotion'],"['motion', 'natural_light', 'neutral_colors']",['air_vehicle'],"A helicopter is depicted three times in varying aerial positions relative to the ground. In the first instance, the helicopter hovers closely along a runway, indicative of either taking off or preparing to land. The second image shows the helicopter at a higher altitude in the sky, mid-flight with no reference to the ground. In the third, the helicopter is seen at an intermediate height above the terrain, emphasizing its overland flight. The motion is moderate, suggesting controlled and purposeful movement. The color mood is neutral, neither particularly vivid nor subdued, with natural lighting that doesn't cast dramatic shadows or provide strong contrasts."
orientation,4.5,IMG_4234,/Volumes/CORSAIR/SCENES/IMG_4234_hap.mov,0,0.5,False,452cee9e-d899-4b60-8e2b-fb9f3c263b90,"['blond_hair', 'glasses', 'human', 'iron_shelf', 'office_desk', 'potted_plants', 'television']",warm,active,118.522,"['#b5b6c2', '#3e2f2b', '#8b8376']","['productivity', 'tranquility']","['decorative_plants', 'furniture', 'interior', 'warm_lighting']","['ceramic_pots', 'iron', 'organic']","Blond-haired, bespectacled woman sits passively before a TV and actively in an office setting, amidst warm-hued decor featuring potted plants on an iron shelf and wall-mounted pots."
