video_id,caption
Untitled8_prores_scene_015,a close-up of the sky with clouds in the background
Untitled8_prores_scene_015,a light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light
Untitled8_prores_scene_015,a sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sand
Untitled8_prores_scene_015,"a slat of a fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric,"
Untitled8_prores_scene_015,a sand beach with a sand beach and a sand beach
Untitled8_prores_scene_015,a tv identifies the time of day
Untitled8_prores_scene_015,a tv screen with a remote control
DRIVING_prores_scene_002,a car in a parking lot
DRIVING_prores_scene_002,a car in the night
DRIVING_prores_scene_002,a car is a vehicle that is driven by a person
DRIVING_prores_scene_002,a car in the film 'the car'
DRIVING_prores_scene_002,a car is driving down a street
DRIVING_prores_scene_002,a car is a vehicle that is driven by a person
Untitled8_prores_scene_003,a blurred image of a tree in a forest
Untitled8_prores_scene_003,a ray of light through a window
Untitled8_prores_scene_019,a sand beach in a sand dunes
Untitled8_prores_scene_019,reflected in a window
Untitled8_prores_scene_019,a smudge on a glass window
Untitled8_prores_scene_019,a sand sand sand sand sand sand sand sand sand sand sand sand sand sand sand s
Untitled8_prores_scene_018,a white screen with a blue background
Untitled8_prores_scene_018,a white background with a blue sky
Untitled8_prores_scene_018,a white tv screen with a blue screen
Untitled8_prores_scene_022,a close up of a bird in flight
Untitled8_prores_scene_022,a leaf on a tree
Untitled8_prores_scene_022,a leaf on a tree branch
Untitled8_prores_scene_022,a tree with leaves and a leaf shaped pattern
Untitled8_prores_scene_022,a pixelated image of a leaf in a forest
Untitled8_prores_scene_022,a pixelated image of a leaf
Untitled8_prores_scene_022,a leaf in the forest
Untitled8_prores_scene_002,in the sky through a window
Untitled8_prores_scene_002,a sunbeam through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,in the sky through a window
Untitled8_prores_scene_002,a sun shining through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a view of a forest through a window
Untitled8_prores_scene_002,a light shining through a window
