video_id,file_path,duration,cluster,cluster_name,semantic_tags,formal_tags,emotional_tags,preliminary_tags,time_tags,material_tags,dominant_colors,semantic_caption,ai_description
video_d70eccc0dba248d3856bb5c483469c87_prores_scene_002,./scenes/video_d70eccc0dba248d3856bb5c483469c87_prores_scene_002.mov,2.3,1,first perception,"playground, slide, sun, background","soft lighting, evening","serene, peaceful","background, slide","twilight, evening",outdoor,"#a5c2e0, #1c1a20, #576f95","a scene in which the main visual elements are the sun, moon, and stars   no people or objects in focus   a scene in which the sun shines through haze   it's an outdoor scene   the sun rises and sets in the sky   in the image below, describe the lighting conditions",A gently illuminated scene with a playground slide and a background sun.
video_d70eccc0dba248d3856bb5c483469c87_prores_scene_003,./scenes/video_d70eccc0dba248d3856bb5c483469c87_prores_scene_003.mov,6.2,0,elemental stillness,"art, sculpture, bird, blue","static, soft_light","serene, quiet","bird, blue, long, sculpture, tail",night,sculpture_material_unknown,"#a5ceee, #0c122b, #6689b9",symphony of the blues and whites of a frog   no people or objects in focus   a blue sky with blue clouds and blue sun   it's an outdoor scene with a blue sky   twilight time   if you're working with a blue sky and white clouds,A sculpture of a blue bird with an elongated tail in a softly illuminated setting.
TIM0_prores_scene_002,./scenes/TIM0_prores_scene_002.mov,5.37,3,residual interference,"indoor, restaurant, seated, men, table","dim lighting, interior scene, human figures","serene, quiet","restaurant, sitting, table",evening,"wood, fabric, glass","#100400, #953112, #f37654","a man is sitting on stools in front of two other men, one of whom is wearing glasses and the other is not   a group of people are sitting in the middle of the room   a group of young men and women sitting in the middle of crowded restaurant   i'm not sure   supper time   if you are working with a color palette",Two men seated at a table in a dimly lit restaurant environment.
2014-10-18 17.07.33_prores_scene_001,./scenes/2014-10-18 17.07.33_prores_scene_001.mov,0.9,1,first perception,"beach, walking, mountain, outdoor, tranquil","soft_light, silhouette, landscape, natural_light","peaceful, calm","background, beach, mountain, people, walking",twilight,"sand, natural_setting","#96938a, #f3f7f9, #534c42","a man and woman walking on sand in california   a couple of people walking on the beach   a couple walking on the beach in california   a couple of people walking on the beach   twilight   if you're going to be photographing a group of people, you need to describe the lighting conditions","Two individuals traverse a sandy beach, illuminated by diffused light, with a mountainous backdrop. Motion is present, indicative of walking. The environment suggests a tranquil outdoor setting."
Brute Spring Fog_prores_scene_001,./scenes/Brute Spring Fog_prores_scene_001.mov,14.07,0,elemental stillness,"man, porch, smoke, soft_light","static_subject, dynamic_environment, evening","mysterious, serene","porch, smoke, standing",twilight,wood,"#0e0c0a, #403934, #817e75","a scene from the movie 'the house on the hill'   no people or objects in focus   a man is standing in front of an open doorway with smoke coming from his mouth   it's a lot of work to do indoors   a man in the woods at night   if you're working in a dark room, you may want to keep the lighting low",A man stands on a porch surrounded by smoke with soft lighting.
IMG_0049_prores_scene_001,./scenes/IMG_0049_prores_scene_001.mov,25.8,0,elemental stillness,"fire, building, night, soft_light","thumbnail, tone_hint_absent",warmth,"building, burning, fire, front, large",night,"flame, architecture","#552328, #eb7255, #2f62b4","a fire burns in the middle of an industrial building in london   no people or objects in focus   a fire breaks out of an abandoned factory and burns through the night sky   it's a fire in an industrial factory   twilight is the time of day when the sun is at its   a fire burns in the middle of an industrial building in london, uk","The video depicts a fire burning in front of a large building at night. The scene is softly lit, primarily by the fire's glow."
2014-11-08 16.34.48_prores_scene_001,./scenes/2014-11-08 16.34.48_prores_scene_001.mov,13.78,1,first perception,"sunset, water, tranquil","dim_light, minimal_motion, evening","peaceful, calming","over, setting, water",dusk,natural_light,"#746958, #222220, #d2b992",a sunset over the sea   a sunrise or sunset over the sea   a sunset over the sea   a view of the sun rising over the sea   twilight time of day   a sunset or sunrise over the water,"Tranquil scene, sunset over water, dimming light, minimal movement."
Static 1_prores_scene_001,./scenes/Static 1_prores_scene_001.mov,20.03,2,human proximity,"indoor, low_light, minimalist","static, soft_edges","tranquil, mysterious","background, black, small, spots",night,unknown,"#0e0e0e, #626262, #2d2d2d","the main visual elements of this scene are the sand and the water   no people or objects in focus   a black and white scene with sand, rocks, and trees   it's an indoor scene   a dark sky with clouds and rain   Describe the lighting conditions and color palette",A dimly illuminated scene with a black background and sparse small black spots.
GOOD_prores_scene_001,./scenes/GOOD_prores_scene_001.mov,14.88,3,residual interference,"indoor, hallway, women, windows, soft light","standing, wood",tranquil,"coming, hallway, light, stand, windows, women",afternoon,wood,"#0c0704, #dcb997, #523b2b",a dark hallway with spooky lighting and shadows   a dark hallway with light coming from the window   a dark hallway with light coming from the windows   it's an indoor scene   twilight - screenshot   for the lighting conditions and color palette of the scene,"Indoor hallway, two women standing, windows emitting soft light, tranquil atmosphere, wood elements present."
GOPR0208_scene_002,./scenes/GOPR0208_scene_002.mov,40.87,2,human proximity,"indoor, man, DJ mixer, soft lighting","still, medium shot",tranquil,"mixer, playing, shirt","dusk, interior night","fabric, electronic","#e7cfb2, #463936, #8e665c",djs and mc's at the ftp party in london   a man with headphones and dj equipment   a dj sets up his equipment   a dj in the backyard   dj at a party   a dj set up,"Indoor scene with a man in a red shirt operating a DJ mixer, under soft lighting."
