video_id,file_path,duration,frame_rate,resolution,motion_score,motion_variance,motion_tag,mood_tag,semantic_tags,formal_tags,emotional_tags,material_tags,dominant_colors,semantic_caption,ai_description
2014-09-18 22.59.41_prores_scene_001,/Volumes/CORSAIR/SCENES/2014-09-18 22.59.41_prores_scene_001_hap.mov,18.65,29.97002997002997,1920x1080,16.905,16.284,active,cool,"drums, event, group, guitars, live, music, performer, stage","cool-toned, dimly-lit, dynamic, energetic, sharp_silhouettes","charged, enthusiastic, focused, intense","fabric_clothing, metallic_drums, wooden_instruments","#000d09, #cfe3e4, #0a4e48","two men playing guitar on stage in a darkened room | a band on stage with guitars and drums | a band performs at the magic hat on saturday, october 27, 2013 | a group of people playing music on stage | a band performs on stage in front of an audience","A band performs energetically on a dimly-lit stage, equipped with guitars and drums, their movements syncopated with the rhythm of the music. The ambiance is charged with a cool-toned lighting, casting sharp silhouettes and enhancing the dynamic atmosphere of the live performance. The audience, bathed in the spill of stage lights, focuses intently on the musicians."
FullSizeRender_6_prores_scene_001,/Volumes/CORSAIR/SCENES/FullSizeRender_6_prores_scene_001_hap.mov,15.33,28.63,540x960,12.169,21.189,moderate,cool,"blue_lights, dancing, dj_booth, enjoyment, entertainment, human, mobile_phone, music, stage","background_equipment, central_focus, foreground_activity, motion","cool, energetic, enjoyment, lively","electronic_device, lighting, stage_equipment","#7738cb, #0e0353, #15a8f2",a man is playing dj on his mobile phone | a man is dancing with djs on instagram | a man is sitting in front of the dj booth with blue lights | a dj set up in the middle of the stage,"A man is engaged with his mobile phone, possibly using a DJ app, while another individual dances nearby, potentially to the music being played. Both individuals are in proximity to a DJ booth, which is bathed in blue lighting, suggesting an ambiance that is energetic yet with a cool temperament. The central focus of the space is the DJ setup located on the stage, around which the activity of playing and dancing unfolds. The motion observed is moderate, indicating a lively but controlled level of activity. Overall, the scene conveys a sense of enjoyment related to the music and the act of DJing."
00_0045_2013-12-28_013944_prores_scene_006,/Volumes/CORSAIR/SCENES/00_0045_2013-12-28_013944_prores_scene_006_hap.mov,25.33,29.97002997002997,720x480,24.543,91.173,active,warm,"blurred, human, ice_skates, image, snow, standing_man, trees, warm_lighting","backlit, figure_ground_relationship, movement, outdoor, soft_focus","inviting, serene, tranquil","digital, snow-covered, winter_clothing","#362e21, #514c40, #42392c",a man on ice skates in the snow | a blurred image of trees | a man is standing in front of an image,"A man, adorned with ice skates, is gliding across a snowy expanse, his movements giving the impression of steady, flowing motion. In the background, the forms of trees are visible but lack sharp details, contributing to a blurred, dreamlike effect. Further back, another man stands facing an image, perhaps a large photograph or screen, that is not discernible. The scene emits a warm color mood despite the wintery setting, possibly due to the golden hour sunlight or artificial lighting that bathes the scene in a soft, inviting glow."
Jazz Band 2001_prores_scene_013,/Volumes/CORSAIR/SCENES/Jazz Band 2001_prores_scene_013_hap.mov,7.58,29.97002997002997,704x480,9.604,38.341,moderate,warm,"event, group, guitar, picture, sitting, stage","background, foreground, motion","energetic, observant, restful","pavement, stage_lighting","#aead9e, #0c0c09, #7a745a",a man playing guitar on stage in front of an audience | a man is sitting on the ground with his hands on his knees | a person is standing in front of an image,"On stage, a man with a guitar performs energetically to a crowd. Off-stage, another man sits on the pavement, resting. Elsewhere, an individual stands before a picture."
IMG_0889_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_0889_prores_scene_001_hap.mov,10.81,30.0,720x1280,25.008,70.861,active,neutral,"enclosure, group, human, inflatable_tent, outdoor_event","front, inflatable_structure, natural_light, standing","casual, neutral_mood, social","air, fabric","#c2c2c0, #797951, #3d4120",a woman is standing in front of an inflatable tent | a group of people standing in front of an inflatable tent | a man is standing in front of an inflatable tent | a group of people standing in front of an enclosure,"A dynamic scene where individuals are positioned in front of inflatable structures, possibly at an outdoor event. The central figures differ between single and groups, both men and women, engaged with the tent or enclosure as a backdrop. Movement suggests ongoing interaction or interest towards the inflatables. The overall mood is neutral, neither overly vibrant nor desolate, indicative of casual social gathering. Lighting appears natural and even, without harsh shadows or bright highlights."
20110901_0595_prores_scene_021,/Volumes/CORSAIR/SCENES/20110901_0595_prores_scene_021_hap.mov,23.73,23.976023976023978,1920x1080,14.362,8.317,moderate,cool,"black_white, dusk, flying, human, image, plane, rock_formation, silhouette, sky","contrast, motion, scale, shadow, silhouette, twilight","cool, serenity, static","airplane_aluminum, paper, rocks","#030302, #455f89, #253e62",the silhouette of a rock formation at dusk | a man is standing in front of some rocks | a plane flying in the sky | a person is standing in front of an image | a black and white image of an airplane flying in the sky,"The scene presents a stark rock formation silhouetted against the dimming light of dusk. A man, appearing small in scale, stands before the rocks, his details absorbed in the growing shadows. Above, a plane cuts across the sky, its motion moderate against the backdrop of twilight. In the foreground, another person is observed facing an image, their back to the viewer. The entire tableau is rendered in black and white, emphasizing the cool color mood and a sense of still serenity despite the plane's movement."
Aimless Driving - Trouble Shooters_prores_scene_004,/Volumes/CORSAIR/SCENES/Aimless Driving - Trouble Shooters_prores_scene_004_hap.mov,5.31,29.97002997002997,704x480,10.869,31.265,moderate,warm,"empty_room, ensemble, event, instruments, interior, music, no_audience","background, diverse_group, foreground, motion, warm_lighting","absence, focus, intimacy","musical_instruments, soft_glow, spatial_layering","#241c12, #e9d3a5, #88694d",a group of people playing instruments in the studio | a group of men and women playing music on stage in front of an empty room | a group of people playing instruments in the background of an empty room | a man in black and white standing in front of an empty room | a group of men and women standing in front of an empty room,"In a warmly lit studio space, a diverse ensemble of men and women are engaged in playing various instruments. The subdued lighting casts a soft glow over the group and instruments, creating an intimate atmosphere. The performers are focused on their music, generating a moderate sense of motion as they interact with their instruments. The room they occupy is devoid of an audience, emphasizing the performers and their craft. In the foreground, a man dressed in black and white stands with subtle movements, his presence further accentuating the emptiness of the venue. Additional group members can be seen at a distance, forming a layered arrangement of people throughout the room."
Trouble Shooters at Sweet Home_prores_scene_001,/Volumes/CORSAIR/SCENES/Trouble Shooters at Sweet Home_prores_scene_001_hap.mov,8.67,29.97002997002997,704x480,17.295,0.608,active,warm,"advertisement, engagement, group","clustered, forward_lean","attentive, interested",colorful,"#151711, #f8f9ef, #888664",a group of people standing in front of an advertisement | a group of people standing in front of an image,"A group of individuals is clustered before a colorful advertisement, attentively examining the image. Their bodies lean slightly forward, suggesting engagement."
Cession June 18 1999_prores_scene_023,/Volumes/CORSAIR/SCENES/Cession June 18 1999_prores_scene_023_hap.mov,7.24,29.97002997002997,704x480,16.926,0.101,active,warm,"event, group, lights, performer, stage","motion, warm_color_temperature","energetic, excitement, vibrant","instruments, performers, stage_lighting","#4c3c3b, #bc948b, #131317",a group of musicians on stage in front of lights | a band performs on stage in front of an audience,"The stage is alive with a band performing energetically in the glow of warm stage lights. The musicians are spaced out across the stage, each engaging with their instrument. Heavy motion is evident, likely from strumming, drumming, and dynamic body movements of the performers. The audience is implied. Bright spotlights and ambient lighting bathe the stage in a warm hue, enhancing the vivacity of the scene."
C0020_prores_scene_001,/Volumes/CORSAIR/SCENES/C0020_prores_scene_001_hap.mov,6.76,23.976023976023978,1920x1080,4.436,1.697,still,neutral,"circle, human, light, monochrome, projected, shadows, space, wall","contrast, projection, silhouette, static","neutral, reflective, serene","projection_light, space_imagery, wall","#090509, #7b8d7f, #252524",a person is standing in front of an image projected onto the wall | a black and white image of an illuminated circle in the dark | symphony of light and shadows | a black and white image of an object in space,"A person is poised motionless in front of a wall where a black and white image is projected, showcasing a bright circle surrounded by darkness, creating a stark interplay of light and shadow reminiscent of celestial bodies in space."
