video_id,file_path,duration,frame_rate,resolution,motion_score,motion_variance,motion_tag,mood_tag,semantic_tags,formal_tags,emotional_tags,material_tags,dominant_colors,semantic_caption,ai_description
IMG_3002_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_3002_prores_scene_001_hap.mov,1.17,30.0,2160x3840,28.208,0.0,active,warm,"disney's_epcot, theme_park, waterway","golden_hour, reflections, ripples, warm_lighting","inviting, serene","natural_light, water","#807d64, #37352c, #90bbe2",a view of the water in front of disneyland park | a view of the waterway at disney's epcot theme park,"The waterway at Disney's Epcot theme park basks in the golden light of early evening. The sun's rays reflect off the gentle ripples creating an inviting, warm glow. Visitors are scattered along the walkways, calmly observing the serene waters. The backdrop includes architecture emblematic of the park's international pavilions, softly lit by the ambient natural light. Ducks skim across the water, adding life and motion to the scene which is otherwise tranquil."
IMG_2161_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_2161_prores_scene_001_hap.mov,7.71,29.97002997002997,2160x3840,3.274,0.165,still,cool,"blue, confetti, low_light, monochrome, purple, starry_sky, stars","contrast, still_life, two-dimensional","calm, mysterious, serene","ink, paper, photographic","#18082e, #310d5c, #0d031f",a black and white image of confetti in the form of stars | a purple and blue starry sky in the night sky,The image features a static display of star-shaped confetti scattering across the frame atop a background that resembles a purple and blue starry night sky. The confetti is presumably stationary against the vibrant backdrop.
00_0036_2013-12-28_012125_prores_scene_002,/Volumes/CORSAIR/SCENES/00_0036_2013-12-28_012125_prores_scene_002_hap.mov,5.37,29.97002997002997,720x480,53.349,2.161,dynamic,warm,"autumn_leaves, forest, frog, rocks, season_change, skateboard, snow, wildlife, winter","background, close_up, contrast, foreground, texture","solitude, tranquility","fabric, leaves, metal, rock, snow, wood","#776358, #e7e9ec, #af9c8f",a skateboard on the ground with leaves and snow | a close-up view of snow covered rocks on the ground | a frog in the snowy woods | a close-up of an image of snow on the ground | a snowy forest scene with leaves and rocks in the background,"A skateboard lies abandoned on the snowy ground, partially obscured by scattered leaves, highlighting the seasonal transition from autumn to winter. A close-up reveals intricately detailed snow-covered rocks, providing a textured foreground. A lone frog is unexpectedly perched within the snow-laden woods, its presence adding a touch of life to the dormant forest. Further examination shows a well-defined image of fresh snow blanketing the earth, its surface unmarred by footprints. The encompassing view of the scene reveals a forest in winter hibernation, where leaves and rocks lie in silent repose beneath a soft white cover."
00_0027_2013-12-28_010142_prores_scene_001,/Volumes/CORSAIR/SCENES/00_0027_2013-12-28_010142_prores_scene_001_hap.mov,3.7,29.97002997002997,720x480,21.499,0.0,active,cool,"animal, ice, icicle, snow, tree_branch, water","abstract, close_up, hanging, powdery, translucent","chill, crisp, delicate, reflections","ice, water, wood","#545e68, #272827, #40474c",a close-up of ice crystals on the side of an icicle | icicles hanging from a tree branch | a picture of an animal in the water | a close-up of ice crystals in the snow | a close-up of an object in the foreground,"A close-up reveals intricate ice crystals etching the surface of a translucent icicle. Overhead, more icicles gracefully drape from a tree branch, shimmering slightly as they catch the light. In the waters below, the blurry contour of an animal is just discernible beneath the icy sheen. Nearby, the delicate structure of ice crystals is showcased again on the powdery surface of the snow, capturing the essence of winter's chill. In the foreground, an indistinct object is coated in frost, its texture and form highlighted by the crisp focus."
IMG_0500_scene_001,/Volumes/CORSAIR/SCENES/IMG_0500_scene_001_hap.mov,15.53,30.0,2160x3840,17.746,7.213,active,cool,"branches, oak_tree, spider_web","cool_lighting, hanging, swaying",serene,"natural, silk, wood","#3671ab, #0a132d, #1f64a4",a spider web hanging from the branches of an oak tree,"Intricate spider web suspended between oak tree branches, swaying slightly."
IMG_4311_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_4311_prores_scene_001_hap.mov,6.09,24.0,1920x1080,31.914,26.796,dynamic,warm,"fireworks, light, low_light, sky, smoke, spectators","dynamic, ethereal, radiant, sparkling, warm_lighting","awe, delight, excitement, warm_lighting","firework_smoke, night_sky","#160c05, #828780, #bfcbc0",a group of people watching fireworks explode in front of them | a group of people standing in front of an image of smoke | a group of people standing in front of an image | a group of people watching fireworks at night,"A lively group of spectators is gathered, gazing upwards with a mixture of awe and delight at the sight of vivid fireworks bursting overhead. The night sky is ablaze with streaks of sparkling lights, casting a warm and radiant glow on the faces of the audience. Wisps of smoke linger in the air from the fading pyrotechnics, creating an ethereal backdrop. The atmosphere is charged with the dynamic movement of the fireworks and the subdued murmurs and exclamations of the crowd."
GOPR0246_prores_scene_005,/Volumes/CORSAIR/SCENES/GOPR0246_prores_scene_005_hap.mov,4.25,47.95,1920x1080,4.207,0.0,still,cool,"cool_lighting, dark_room, dj_booth, music_equipment, nightlife","color_contrast, cool_lighting, interior_space, low_light, minimal_light_sources","anticipatory, intimate, mysterious, serene","electronic_equipment, room_furnishings","#05020a, #090e3e, #0e2687",a dark room with blue lights in the background | dj set up in a dark room with blue lights,"A DJ setup occupies a considerably shadowed space, bathed subtly in blue hue emanating from an unclear source in the backdrop. The setup likely includes DJ decks, mixers, and turntables, comfortably spread within the performer's reach, waiting to be animated by touch. The blue illumination doesn't penetrate far but imparts a nocturnal and mysterious ambiance to the room, suggesting suppressed activity, yet a potential for rhythmic engagement."
MOV_5401_prores_scene_001,/Volumes/CORSAIR/SCENES/MOV_5401_prores_scene_001_hap.mov,7.71,29.97002997002997,2160x3840,3.274,0.165,still,cool,"confetti, monochrome, night_sky, starry_sky, stars","cool_lighting, nighttime, star_shapes, static","calm, mysterious, serene","celebration_material, paper_confetti, sky","#0d031f, #310d5c, #18082e",a black and white image of confetti in the form of stars | a purple and blue starry sky in the night sky,"Black and white image of star-shaped confetti scattered, overlaying a purple and blue starry night sky."
GOPR0501_prores_scene_001,/Volumes/CORSAIR/SCENES/GOPR0501_prores_scene_001_hap.mov,46.1,23.976023976023978,3840x2160,31.277,36.668,dynamic,neutral,"cemetery, field, grass, gravestones, landscape, nature, tree_stump, trees","background, dynamic, foreground, horizon, natural_light, serenity, shadows","peaceful, solemn, tranquil","earth, grass, stone, vegetation, wood","#b3c3d4, #48483a, #8d8660",a field of grass with trees and trees in the background | a cemetery with trees in the background | a group of trees in the middle of the grassy field | a tree stump in the middle of the grassy field | a cemetery with gravestones and grave markers,"A serene landscape with various elements intermingled. In the foreground, a grassy field sprawls with an isolated tree stump suggesting a pastoral setting. A stand of trees emerges centrally from the field, creating a natural gathering. Towards the background, another layer of trees marks the horizon line. On one side of the field, a cemetery sits solemnly with a collection of gravestones and markers amongst the grass while trees provide a quiet backdrop. The scene is dynamic with the possible movement of grass in the breeze and slight shadows cast by the trees indicating the day's time. The color mood is neutral, conveying neither warmth nor coolness decisively, while the lighting seems natural, suggesting outdoor daylight without extreme brightness or dimness."
IMG_8910_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_8910_prores_scene_001_hap.mov,78.6,23.976023976023978,1920x1080,20.376,21.889,active,cool,"blue_sky, bokeh, light_rays, reflection, water_surface","active_motion, blurred, close_up, reflections","cool, serene","light, sky, water","#c9cfd0, #8da7ae, #f7f6f6",a close-up of bokeh light rays on the water surface | bokeh light reflections on a blue sky | a close up shot of bokeh lights in the sky | a bokeh image with blurred reflections of light | a black and white image of bokeh,"Glittering bokeh lights shimmer across the water's surface against a cool-toned blue sky, with blurred light reflections dancing, suggesting active movement in a serene setting."
00_0014_2013-12-28_003909_prores_scene_002,/Volumes/CORSAIR/SCENES/00_0014_2013-12-28_003909_prores_scene_002_hap.mov,13.81,29.97002997002997,720x480,44.441,375.574,dynamic,warm,"branches, light, patterns, sun, tree","dappled_light, filtration, nature, sunrays","serenity, tranquility, warm_lighting","foliage, natural_light, wood","#877866, #f8f0e1, #292821",the sun shining through a tree,"The sun emits brilliant beams that filter through the branches of a tree, casting dappled patterns of light below."
IMG_0479_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_0479_prores_scene_001_hap.mov,19.27,15.0,224x128,9.075,13.019,moderate,cool,"bird, blue, clouds, egret_nest, nest, owl, perch, pole, sky","cool_lighting, high_angle, motion, perched, serenity, soft_lighting","calm, peaceful, tranquil","air, feathers, wood","#6d9fd4, #5181bc, #213630",an owl sits on top of a nest | a blue sky with clouds | a bird perched on top of an egret nest | a picture of the sky with clouds and clouds | bird nesting on top of a pole,"An owl sits serenely atop its nest, perched high on a pole that pierces a sky painted with a palette of cool blues and sporadic clouds. The sky, an expansive backdrop, emanates tranquility. Gentle clouds drift, bringing a moderate sense of motion to the scene. The ambient light is soft, suggesting either early morning or late afternoon, casting subtle shadows and contributing to the overall calm and cool atmosphere."
MVI_0567_prores_scene_001,/Volumes/CORSAIR/SCENES/MVI_0567_prores_scene_001_hap.mov,11.4,29.97002997002997,1280x720,11.601,5.214,moderate,warm,"geyser, lake, nature, steam, yellowstone_national_park","daytime, motion, outdoor, warm_lighting","majestic, serene, tranquil","natural_landscape, steam, water","#9a9b98, #746c58, #444136",a lake in the middle of the world famous yellowstone national park | a geyse - stock video and  footage | a geyst in the park of yellowstone national park in utopia | a geyser of steam rising from the ground,"Steam rises moderately from a geyser amidst Yellowstone's serene lake, warm light suffusing the tranquil setting."
