movement,time_start,video_id,path,layer,duration,loop,uuid,semantic_tags,mood_tag,motion_tag,motion_variance,dominant_colors,emotional_tags,formal_tags,material_tags,ai_description
orientation,0.0,0014QT_prores_scene_001,/Volumes/CORSAIR/SCENES/0014QT_prores_scene_001_hap.mov,0,0.5,False,6d927164-3b63-4b7c-a233-f8f65f8b6716,"['field', 'grassy', 'helicopter', 'parked', 'resting']",cool,moderate,6.471,"['#646a32', '#e9f7fc', '#101509']","['calm', 'cool_lighting', 'serene']","['diffuse_lighting', 'open_space', 'soft_shadows', 'static']","['grass', 'metal', 'overcast_sky']","A helicopter rests on a well-manicured, expansive grassy field. Its stance is static with only a slight rustling of grass suggesting a gentle breeze. The field is open, with an atmosphere that feels cool in tone. The daylight is soft and appears overcast, creating diffuse shadows and a sense of calmness in the scene."
orientation,0.5,IMG_1815_prores_scene_002,/Volumes/CORSAIR/SCENES/IMG_1815_prores_scene_002_hap.mov,0,0.5,False,8336722a-f55b-4a9b-8f38-ac4731ddd866,"['baby', 'camera', 'interaction', 'lap', 'laughter', 'love', 'mother', 'nurturing', 'playing', 'smiling', 'toys']",warm,dynamic,226.52,"['#9c7660', '#cac2bd', '#2a2222']","['affectionate', 'content', 'joyous', 'playful', 'warm_lighting']","['close_up', 'depth_of_field', 'mid-shot', 'soft_focus']","['clothing', 'fabric', 'plastic_toys', 'skin']","A smiling baby gazes upwards at the camera with eyes full of joy. The baby's laughter is implied as the environment is one of merriment and play. In another aspect of the scene, a baby boy is actively engaging with his toys, showing a gentle yet lively interest in the playthings around him. Meanwhile, a child is comfortably seated on the maternal lap, suggesting a nurturing and loving interaction."
orientation,1.0,20190922_000506_prores_scene_001,/Volumes/CORSAIR/SCENES/20190922_000506_prores_scene_001_hap.mov,0,0.5,False,7874bb99-92c6-4454-b45d-ce5eb72d7262,"['dancing', 'event', 'group', 'illumination', 'monochrome', 'nightclub', 'stage']",cool,still,2.704,"['#070408', '#251433', '#73458f']","['cool', 'dynamic', 'euphoric', 'static', 'timeless']","['contrast', 'lighting', 'monochrome', 'shadows', 'silhouettes']","['hard_shadows', 'soft_lighting']","An assembly of individuals occupies a stage, subtly contrasted by the glow of stage lights. Monochromatic tones suggest a timeless feel, as the group is caught either in static postures or mid-dance. The stark lighting envelops the scene, carving shapes and shadows to define the space around the figures. The illumination hints at a cool ambiance, with brighter spots focusing on the stage, while other areas fade into the obscurity of a nightclub setting."
orientation,1.5,DRIVING_prores_scene_001,/Volumes/CORSAIR/SCENES/DRIVING_prores_scene_001_hap.mov,0,0.5,False,9d7bc074-8591-4a58-a79f-2a30708f3066,"['car', 'driver', ""driver's_seat"", 'driving', 'oncoming_vehicle', 'philadelphia', 'steering_wheel', 'street']",cool,dynamic,0.0,"['#ced5de', '#292c27', '#797e81']","['calmness', 'focus', 'serenity']","['cool_color_palette', 'headlights', 'lane_markings', 'motion', 'twilight_lightning', 'urban_environment']","['asphalt', 'fabric', 'glass', 'metal']","A car moves steadily down a Philadelphia thoroughfare, bathed in the soft twilight hues of an early evening. Its headlights faintly illuminate the asphalt and the faded white lane markings, contrasting with the diminishing daylight. The driver, focused and calm, maintains a firm grip on the wheel, ensuring the vehicle's smooth trajectory. Another car appears in the distance, its approach signaled by the glow of headlights growing brighter. Cool shades prevail in this urban setting, creating a serene atmosphere within the dynamic flow of commuting."
orientation,2.0,00_0050_2013-12-28_020706_prores_scene_001,/Volumes/CORSAIR/SCENES/00_0050_2013-12-28_020706_prores_scene_001_hap.mov,0,0.5,False,12d27432-f5dc-4f7e-813d-a25212984686,"['dog', 'human', 'image', 'standing', 'street', 'suv', 'walking']",warm,active,65.303,"['#66594b', '#1a1611', '#383028']","['comfortable', 'relaxed']","['pedestrians', 'urban_setting', 'vehicle', 'warm_lighting']","['asphalt_street', 'fabric_clothing', 'fur_animal', 'metallic_vehicle']","A man strolls casually along a city street with his hands tucked into his pockets, suggesting a relaxed demeanor. Nearby, a dog ambles independently down the sidewalk, displaying a sense of freedom. Separately, an individual stands in a stationary position, presumably contemplating or observing a displayed image, while another dog follows its own path in front of a parked SUV. The movements suggest a dynamic yet unhurried setting. The warm color mood indicates an overall feeling of comfort and perhaps the glow of a sunset or warm artificial lighting, bathing the scene in soft golden hues."
orientation,2.5,IMG_3297_scene_001,/Volumes/CORSAIR/SCENES/IMG_3297_scene_001_hap.mov,0,0.5,False,7cbfea03-6da7-435f-885d-0b0eac629691,"['boardwalk', 'dog', 'human', 'park_trail', 'walking', 'wooden_bridge']",warm,dynamic,7.64,"['#3e3529', '#c7ad9a', '#756954']","['leisurely', 'relaxing', 'warm_lighting']","['daytime', 'outdoor', 'park']","['natural', 'wooden']","A woman strolls with her pet along a park trail, another pair crosses a wooden bridge, while another treads a boardwalk, all surrounded by warm light."
orientation,3.0,00_0036_2013-12-28_012125_prores_scene_002,/Volumes/CORSAIR/SCENES/00_0036_2013-12-28_012125_prores_scene_002_hap.mov,0,0.5,False,9736d074-0408-4f9d-8f68-499f88033cc3,"['autumn_leaves', 'forest', 'frog', 'rocks', 'season_change', 'skateboard', 'snow', 'wildlife', 'winter']",warm,dynamic,2.161,"['#776358', '#e7e9ec', '#af9c8f']","['solitude', 'tranquility']","['background', 'close_up', 'contrast', 'foreground', 'texture']","['fabric', 'leaves', 'metal', 'rock', 'snow', 'wood']","A skateboard lies abandoned on the snowy ground, partially obscured by scattered leaves, highlighting the seasonal transition from autumn to winter. A close-up reveals intricately detailed snow-covered rocks, providing a textured foreground. A lone frog is unexpectedly perched within the snow-laden woods, its presence adding a touch of life to the dormant forest. Further examination shows a well-defined image of fresh snow blanketing the earth, its surface unmarred by footprints. The encompassing view of the scene reveals a forest in winter hibernation, where leaves and rocks lie in silent repose beneath a soft white cover."
orientation,3.5,Piano Day 1998_prores_scene_012,/Volumes/CORSAIR/SCENES/Piano Day 1998_prores_scene_012_hap.mov,0,0.5,False,92cbbda8-b423-41b9-a428-677eaca4c500,"['gathering', 'group', 'image', 'open_door', 'orange_cart']",warm,dynamic,525.922,"['#1e1712', '#6f5c52', '#c6c0c4']","['curiosity', 'engagement', 'warm_lighting']","['front', 'group', 'standing', 'warm_lighting']","['fabric', 'paper', 'wood']","A crowd gathers around a vivid orange cart, another stands by an open doorway, a third group in front of an image, imbued with warmth and activity."
orientation,4.0,Christmas Singalong_prores_scene_007,/Volumes/CORSAIR/SCENES/Christmas Singalong_prores_scene_007_hap.mov,0,0.5,False,3e3a5c2d-2781-421c-8174-61bb767327c9,"['attention', 'furniture', 'group', 'living_room', 'serenity', 'social_gathering', 'television']",warm,still,0.0,"['#050406', '#9e7047', '#f6f2eb']","['calmness', 'comfort', 'inviting', 'relaxed']","['empty_space', 'lack_of_movement', 'monochrome', 'seated_posture', 'still_life', 'warm_lighting']","['electronic', 'glass', 'textiles', 'wood']","A serene room bathed in soft, warm light. Several people are seated in chairs, their attention directed towards a television, indicating a relaxed social gathering. The room exudes calmness with no outward sign of movement, suggesting a still atmosphere. Emotionally, the setting seems comfortable and inviting due to the warm lighting"
orientation,4.5,GP070496_prores_scene_001,/Volumes/CORSAIR/SCENES/GP070496_prores_scene_001_hap.mov,0,0.5,False,5fef9bbb-e972-4e1d-9eb2-efe96729ba77,"['architecture', 'group', 'nature', 'rural', 'urban']",warm,still,6.861,"['#98875b', '#545344', '#aebdc9']","['calm', 'serene', 'warm_lighting']","['brick_building', 'buildings', 'cityscape', 'field', 'grass', 'group', 'human', 'street', 'trees']","['brick', 'concrete', 'fabric', 'foliage', 'grass']","The scene unfolds across various locations. A pastoral field with lush trees and grass stretches out under a clear sky. A man dressed in yellow trousers and a matching hat is spotted strolling down an urban street. Elsewhere, a lone person is immersed in a similar field, with trees dotting the landscape. The cityscape reveals itself with towering structures receding behind a veil of green foliage. A small assembly of individuals is gathered, their attention directed toward a visual display. A woman, positioned on a lawn, is framed by an antiquated brick edifice."
orientation,5.0,Robotic Jay_prores_scene_004,/Volumes/CORSAIR/SCENES/Robotic Jay_prores_scene_004_hap.mov,0,0.5,False,3ce7ae83-b402-4d87-a2ca-57b45dbb6f08,"['human', 'low_light', 'robot', 'silhouette', 'teddy_bear', 'video']",cool,active,129.177,"['#16151a', '#c5c2d1', '#484754']","['eerie', 'isolation', 'mysterious']","['contrast', 'cool_lighting', 'low_lighting', 'monochrome', 'nocturnal', 'standstill']","['electronic_components', 'fabric', 'metal', 'plastic']","A robot stands still in a dimly lit space, its eyes glowing in the dark. Nearby, an indistinct black and white object barely discernible. A teddy bear is vaguely visible. A person looms in front of a barely visible image. A video shows a robot motionless in the night."
orientation,5.5,IMG_6200_prores_scene_001_1,/Volumes/CORSAIR/SCENES/IMG_6200_prores_scene_001_1_hap.mov,0,0.5,False,f2010ed2-c9eb-4766-bae9-bf4a895a86ad,"['cooking', 'food_preparation', 'human', 'kitchen', 'oven']",warm,dynamic,184.097,"['#221e1e', '#c3b392', '#716357']","['activity', 'home_comfort', 'warm_lighting']","['interior', 'kitchenware', 'warm_lighting']","['appliance', 'cookware', 'food', 'utensils']","A man is actively engaged in cooking, standing by a lit oven that emits a warm glow throughout the kitchen."
orientation,6.0,00_0072_2013-12-28_220003_prores_scene_001,/Volumes/CORSAIR/SCENES/00_0072_2013-12-28_220003_prores_scene_001_hap.mov,0,0.5,False,70b99773-6f77-4d84-acc0-2617a1a487b5,"['companionship', 'dog', 'furniture', 'human', 'kissing', 'sitting']",warm,moderate,2.006,"['#0e0d0b', '#8c8577', '#453c32']","['affection', 'bond', 'contentment', 'serenity', 'warm_lighting']","['domestic', 'evening', 'indoor', 'intimacy', 'low_light']","['fabric', 'human_skin', 'pet_fur', 'soft_lighting']","A man is reclining in bed with a contented expression, gently laying alongside his dog. The dog, cozy and still, enjoys the man's affection as soft kisses are shared. Their gazes lock occasionally, revealing a bond of companionship. The room is dimly lit, illuminated by a warm ambient light, casting a serene glow over the pair. The man subsequently sits up, the dog now comfortably nestled on his lap, their connection remaining the focal point under the moderate yet fluid movements within this tranquil scene."
orientation,6.5,2015-08-27 23.00.58_prores_scene_001,/Volumes/CORSAIR/SCENES/2015-08-27 23.00.58_prores_scene_001_hap.mov,0,0.5,False,9b54ae83-914b-4c51-9b94-3184b9a76095,"['background', 'beard', 'blond_hair', 'human', 'purple_lights', 'wind']",cool,active,5.586,"['#0f694b', '#7919dd', '#0c131f']","['cool', 'dynamic', 'stimulating']","['active_motion', 'brightness', 'color_contrast', 'foreground']","['ambient', 'hair', 'light']","A man stands in the forefront of a scene, his beard visibly stirred by a strong breeze. His blond hair is slightly tousled as well. Behind him, an array of purple lights creates a vivid background, contributing to the cooler spectrum of the scene. The focus on the man and his stirring beard indicates active perceptual motion, while the overall lighting and color scheme evoke a cool mood. The space gives the impression of an outdoor or well-ventilated indoor setting, influenced by ambient lighting."
orientation,7.0,Skateboarding Michigan Dad Friends Frank_prores_scene_023,/Volumes/CORSAIR/SCENES/Skateboarding Michigan Dad Friends Frank_prores_scene_023_hap.mov,0,0.5,False,9293e1d1-283c-423f-af11-0557c800d6f0,"['bike', 'motion', 'ramp', 'riding', 'sidewalk', 'skateboarder']",cool,active,888.308,"['#323528', '#858c92', '#dcdccf']","['cool', 'energetic', 'youthful']","['concrete', 'natural_light', 'outdoor', 'urban_environment']","['metal_bike', 'wooden_skateboard']","A skateboarder glides down a concrete ramp, another cruises on a skateboard along a sidewalk, and a third rides a bike on the pavement."
orientation,7.5,2015-10-11 21.52.24_prores_scene_001,/Volumes/CORSAIR/SCENES/2015-10-11 21.52.24_prores_scene_001_hap.mov,0,0.5,False,1ff7497f-b4e3-4fe6-9674-c4e8710b1142,"['artist', 'contrast', 'event', 'group', 'light', 'performer', 'shadow', 'silhouette', 'skateboarder', 'stage']",warm,active,78.261,"['#110e0b', '#ccc8ba', '#675c49']","['charged', 'enveloping', 'expressive', 'intense']","['dynamic', 'fluid_motion', 'monochrome', 'silhouette', 'warm_lighting']","['glow', 'grain', 'low_light', 'texture']","In the enveloping darkness of a live performance space, a silhouette punctuates the warm ambiance, where an individual on a skateboard executes a dynamic maneuver on a stage. The spectator's gaze is drawn towards the fluid motion and the interplay of shadows and light. The stage is bathed in a warm glow that outlines the performer, creating stark contrasts and a sense of kinetic energy, indicative of a high level of activity and performance. The artist, possibly a musician or an orator, is similarly engulfed in warm lighting, accentuating the expressive gestures and contributing to the intense emotional charge of the moment. Both scenes are stripped of color, presented in black and white, enhancing the texture and grain of the live moments captured in stillness."
orientation,8.0,2015-11-13 21.36.11_prores_scene_001,/Volumes/CORSAIR/SCENES/2015-11-13 21.36.11_prores_scene_001_hap.mov,0,0.5,False,5b7d7d16-3102-445e-8b80-df5894b75504,"['face', 'flight', 'human', 'monochrome', 'photograph', 'plane', 'sky']",warm,moderate,0.259,"['#241b1b', '#1e1514', '#2b2121']","['nostalgia', 'timelessness', 'warm_lighting']","['composite', 'monochrome', 'soft_lighting', 'superimposed']","['photographic_paper', 'print']","An old photograph depicts a plane soaring across the sky with the image of a person's face superimposed close to the camera's point of view, suggesting the person may be imagining or dreaming of flight. The scene, being in black and white, has a timeless and possibly nostalgic quality. The lighting is diffused, with no harsh shadows, creating a warm despite the monochrome palette. The moderate perceptual motion could be conveyed by a slight blurring or graininess of the plane's image, giving a sense of its movement through the sky."
orientation,8.5,2013-02-16 00.53.39_prores_scene_002,/Volumes/CORSAIR/SCENES/2013-02-16 00.53.39_prores_scene_002_hap.mov,0,0.5,False,9761eb12-d1b5-4308-a47a-6969d69ca639,"['anticipation', 'group', 'image', 'monochrome', 'nostalgia', 'television']",warm,active,25.883,"['#576979', '#ecebe5', '#100e0c']","['anticipation', 'nostalgic', 'warm_lighting']","['circle', 'cluster', 'diffuse_lighting', 'flicker', 'monochrome']","['glass', 'photograph', 'television_screen']","The television screen flickers with the grayscale shades of an older time, edges softened by the circular border of the screen's glass. A group of indistinct figures stands clustered, oriented towards something unseen, a palpable anticipation amongst them. Layered over the scene is another image, equally monochromatic and static, yet it holds the essence of motion, a captured moment that suggests an imminent action or event. Though bereft of color, the scene emits a warm emotional cadence, likely from the inherent nostalgia associated with black and white media. The lighting within the image is consistent with era-appropriate photography, a diffuse illumination that evenly reveals the subjects without harsh shadows."
