movement,time_start,video_id,path,layer,duration,loop,uuid,semantic_tags,mood_tag,motion_tag,motion_variance,dominant_colors,emotional_tags,formal_tags,material_tags,ai_description
orientation,0.0,RJ6A0433_prores_scene_003,/Volumes/CORSAIR/SCENES/RJ6A0433_prores_scene_003_hap.mov,0,0.5,False,4af0dc9f-aedb-4a62-8a05-45113ded635d,"['event', 'group', 'guitar', 'observation', 'stage', 'video_games', 'warm_lighting']",warm,active,46.251,"['#0d0a06', '#d9dee0', '#593d25']","['engagement', 'entertainment', 'excitement']","['front', 'group', 'side']","['instruments', 'lighting']","Illuminated stage with a man strumming a guitar energetically; audience in shadow, focused; another group engaged, watching a stage performer; separate crowd observing a gamer; all under warm lighting."
orientation,0.5,IMG_5627_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_5627_prores_scene_001_hap.mov,0,0.5,False,1e523645-9037-4b6f-acbd-7b470325f1c7,"['car', 'driver', 'human', 'parking', 'residential_area']",warm,active,98.91,"['#5e5159', '#d9cab7', '#292025']","['concentration', 'routine']","['built_environment', 'human', 'motion', 'vehicle']","['fabric', 'glass', 'metal', 'plastic']","A man is seated in the driver's seat of his personal vehicle, maneuvering it across the parking space of his residence. The cabin of the car is likely filled with the subtle vibrations and motion inherent to driving. The sunlight or exterior lighting imbues the scene with a warm glow, reflecting off the dashboard and perhaps casting a light across the man's face as he focuses on the task of parking. The overall motion suggests careful navigation, while the warmth of the lighting suggests either a sunny day or the warm artificial lights of early evening."
orientation,1.0,C0023_prores_scene_001,/Volumes/CORSAIR/SCENES/C0023_prores_scene_001_hap.mov,0,0.5,False,fa026776-0402-4590-bdf1-00b6562a466b,"['airplane', 'low_light', 'monochrome', 'object', 'sky', 'tracks', 'train']",warm,still,0.0,"['#0b080a', '#100b0d', '#080407']","['mysterious', 'nostalgic', 'serene']","['contrast', 'monochrome', 'silhouette', 'static', 'triptych']",['photograph'],"A monochromatic image is split into three sections. On the top, an airplane is captured mid-flight against a clear sky, its details frozen in time. The middle section shows a train moving along tracks, rendered motionless in the still frame. The bottom portion presents a vague, indistinct object barely visible in the surrounding darkness."
orientation,1.5,IMG_3165_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_3165_prores_scene_001_hap.mov,0,0.5,False,2dd96b0c-ca6c-4baa-a4a5-94ce59172671,"['airplane', 'cool_lighting', 'dark_blue_water', 'fish', 'group', 'low_light', 'shared_focus', 'silhouette', 'sky', 'swimming']",cool,active,30.077,"['#00010f', '#241eed', '#0b0e8c']","['cool', 'focus', 'mystery', 'solitude']","['central_composition', 'contrast', 'dynamic', 'high_angle', 'monochrome', 'silhouette']","['light', 'sky', 'water']","In the depths of dark blue waters, a solitary fish glides with grace. Above, a cluster of individuals is bathed in a monochromatic blue light, their postures suggesting a shared focus or event. Splitting this scene in monochrome, an airplane cuts across the sky, a stark silhouette against the lighter backdrop. Below the aircraft and central in the composition stands another group of figures, their arrangement and lack of motion contrasting with the dynamic overhead passage. Above them all, the final airplane soars in the expanse of a dark night sky, its presence pronounced yet enigmatic."
orientation,2.0,IMG_8554_prores_scene_001_1,/Volumes/CORSAIR/SCENES/IMG_8554_prores_scene_001_1_hap.mov,0,0.5,False,f0ff3bb9-3d82-41b3-948d-de4e2da7110b,"['football', 'group', 'new_york_giants', 'philadelphia_eagles', 'stadium']",cool,dynamic,32.729,"['#837582', '#a8b4cf', '#35344c']","['engaged', 'excited']","['cool_lighting', 'dynamic']","['concrete', 'digital_screens', 'fabric']","A man is seated in the stands among a bustling crowd at a stadium, fixedly watching a football game between the New York Giants and Philadelphia Eagles."
orientation,2.5,IMG_3202_prores_scene_001,/Volumes/CORSAIR/SCENES/IMG_3202_prores_scene_001_hap.mov,0,0.5,False,11c0cdde-8736-4b35-aa31-450d7a049676,"['contrast', 'cool_lighting', 'interior', 'low_light', 'monochrome', 'plane', 'red_light', 'sky', 'stage', 'warm_lighting']",warm,active,92.561,"['#060001', '#8c211a', '#420605']","['dramatic', 'energetic', 'intimate', 'moody']","['color_accent', 'high_contrast', 'low_key', 'monochrome', 'silhouette', 'soft_lighting', 'spotlight']","['light', 'shadow']","An interior space bathed in dim, warm red light creates an intimate atmosphere. The central focus is a stage illuminated with stark red and blue spotlights, adding a sense of drama. Above, a grayscale plane soars across an overcast sky, its form sharply contrasted against a backdrop devoid of color yet pierced by vibrant red and blue lights, suggesting both motion and a certain stillness. The overall sense of motion is energetic, as if capturing fleeting moments in a vibrant play of light and shadow."
orientation,3.0,2014-08-25 00.09.17_prores_scene_001,/Volumes/CORSAIR/SCENES/2014-08-25 00.09.17_prores_scene_001_hap.mov,0,0.5,False,70f5fc21-4f44-4787-b41f-ee9ccc3c996d,"['airplane', 'flying', 'monochrome', 'night_sky']",warm,still,0.0,"['#000000', '#010000', '#020000']","['serene', 'tranquil', 'vastness']","['contrast', 'monochrome', 'silhouette']",['photograph'],"The image captures an airplane's silhouette mid-flight against the backdrop of a star-studded night sky, rendered in a monochrome palette that melds the aircraft with the celestial expanse."
orientation,3.5,Jazz Band 2001_prores_scene_009,/Volumes/CORSAIR/SCENES/Jazz Band 2001_prores_scene_009_hap.mov,0,0.5,False,1fb898a4-5071-4912-8714-84f89c8d393f,"['airplane', 'blanket', 'interior', 'old_building', 'sky', 'stairwell']",warm,dynamic,0.0,"['#c8d59f', '#0b0805', '#6f7c57']","['nostalgic', 'solemn', 'warm_lighting']","['dynamic', 'monochrome', 'striped']","['fabric', 'glass', 'metal', 'wood']","A stairwell cascades within the somber tone of an aged interior, draped by a patriotic blanket. An airplane cuts through the sky, captured in timeless monochrome."
orientation,4.0,IMG_2944_prores_scene_004,/Volumes/CORSAIR/SCENES/IMG_2944_prores_scene_004_hap.mov,0,0.5,False,4a992f49-fd8d-4f6b-8ac7-8585ab05ff5d,"['electronic_device', 'human_figures', 'indoor_setting', 'seated_woman', 'standing_man']",warm,dynamic,554.179,"['#231a15', '#754c33', '#e1a27a']","['activity', 'tranquility', 'warm_lighting']","['motion', 'seated_posture', 'upright_posture', 'warm_lighting']","['fabric', 'metal', 'plastic']","In a warmly lit room, a man is poised upright before an electronic device, potentially interacting with it. Close to the floor, a woman is seated, her posture relaxed, with hands resting gently on her lap. The scene is dynamic, suggesting movement, perhaps from the man's interaction with the device or an unseen element. Warm lighting enhances the tranquil yet active vibe of the setting."
orientation,4.5,00_0038_2013-12-28_012614_prores_scene_001,/Volumes/CORSAIR/SCENES/00_0038_2013-12-28_012614_prores_scene_001_hap.mov,0,0.5,False,a0b15249-151e-4e28-b26b-5c494204ee13,"['dog', 'forest', 'group', 'human', 'ice_bridge', 'leash', 'road', 'snow', 'street', 'walking']",warm,active,27.236,"['#9c8a75', '#625545', '#2f2b23']","['brisk', 'companionship', 'isolation', 'serenity']","['background', 'contrast', 'foreground', 'motion', 'perspective', 'symmetry']","['animal_fur', 'ice', 'pavement', 'snow', 'winter_clothing']","A woman, bundled up to guard against the chill, carefully walks her dog across a frozen bridge ensconced in a snowy forest. The ice glistens underfoot as the dog trots obediently on its leash. Elsewhere, the same woman ambles down a lonely road, her dog dutifully following on leash. The scene shifts to a social tableau where multiple individuals each walk their own dog, a symphony of leashes and paws in motion. Finally, the woman is seen strolling down a street, her attentive canine companions in tow, their breath misting in the cold air."
